article_id,title,link,published_date,source,supplier,risk_direction,geopolitical_regulatory,agricultural_environmental,financial_operational,supply_chain_logistics,market_competitive,predicted_geopolitical_regulatory,predicted_agricultural_environmental,predicted_financial_operational,predicted_supply_chain_logistics,predicted_market_competitive,predicted_risk_direction,total_risk_score,risk_rank
25,Get two coats for the price of one with 'versatile' reversible style from White Stuff as it's reduced by 20%,https://www.mirror.co.uk/3am/style/celebrity-fashion/reversible-white-stuff-coat-sale-33771206,2024-09-27 07:00:00+00:00,The Mirror,White Stuff Limited,negative,0.0,0.0625,0.0,0.0,0.3125,0,0,0,0,1,negative,0.375,645.5
26,"High street fashion brand with 100 stores bought by owner of Hobbs, Whistles and Phase Eight...",https://www.thesun.co.uk/money/31310284/white-stuff-hobbs-whistles-phase-eight/,2024-10-25 07:00:00+00:00,The Sun,White Stuff Limited,negative,0.0,0.0,0.17647058823529413,0.0,1.25,0,0,1,0,1,negative,1.4264705882352942,313.5
27,White Stuff has reported a surge in profits after shift to ‘customer favourites’,https://www.retail-week.com/fashion/white-stuff-has-reported-a-surge-in-profits-after-shift-to-customer-favourites/7046745.article,2024-07-31 07:00:00+00:00,Retail Week,White Stuff Limited,negative,0.0,0.0,0.23529411764705882,0.0,1.125,0,0,1,0,1,negative,1.3602941176470589,325.0
28,White Stuff is opening its first airport store in ‘major milestone’,https://www.retail-week.com/fashion/white-stuff-is-opening-its-first-airport-store/7047270.article,2024-10-10 07:00:00+00:00,Retail Week,White Stuff Limited,negative,0.0,0.0,0.0,0.0,0.3125,0,0,0,0,1,negative,0.3125,676.5
29,White Stuff (SWOT),https://www.retail-week.com/retailnavigator/white-stuff/white-stuff-swot/7038174.supplierarticle,2024-11-14 06:45:36+00:00,Retail Week,White Stuff Limited,negative,0.0,0.0,0.0,0.0,0.6875,0,0,0,0,1,negative,0.6875,523.5
30,White Stuff expands partnership with Marks & Spencer,https://www.drapersonline.com/news/white-stuff-expands-partnership-with-ms,2024-06-03 07:00:00+00:00,Drapers,White Stuff Limited,negative,0.0,0.0625,0.0,0.0,0.5,0,0,0,0,1,negative,0.5625,575.0
31,High street fashion chain with 130 stores to shut ‘fabulous’ branch that’s ‘amazing for kitting your house...,https://www.thesun.co.uk/money/27756614/high-street-fashion-chain-shut-branch-amazing-white-stuff/,2024-05-06 07:00:00+00:00,The Sun,White Stuff Limited,positive,0.0,0.25,0.29411764705882354,0.07142857142857142,1.75,0,1,1,0,1,positive,2.365546218487395,176.0
32,White Stuff shoppers find reversible raincoat 'easily fits over jumpers' and it has £36 off,https://www.mirror.co.uk/money/shopping-deals/white-stuff-shoppers-find-reversible-33886936,2024-10-15 07:00:00+00:00,The Mirror,White Stuff Limited,negative,0.0,0.25,0.0,0.0,0.1875,0,1,0,0,1,negative,0.4375,618.0
33,White Stuff (Financials),https://www.retail-week.com/retailnavigator/white-stuff/white-stuff-financials/7038173.supplierarticle,2024-11-14 08:34:11+00:00,Retail Week,White Stuff Limited,negative,0.0,0.0,0.11764705882352941,0.0,0.75,0,0,1,0,1,negative,0.8676470588235294,458.5
34,"The White Stuff, German Gymnasium Serves White Asparagus -",https://www.foodepedia.co.uk/restaurant-news/the-white-stuff-german-gymnasium-serves-white-asparagus/,2024-04-28 07:00:00+00:00,Foodepedia,White Stuff Limited,negative,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,negative,0.0,883.5
35,White Stuff opens more stores in Marks & Spencer,https://www.retail-week.com/fashion/white-stuff-opens-more-stores-in-marks-and-spencer/7046348.article,2024-06-03 07:00:00+00:00,Retail Week,White Stuff Limited,negative,0.0,0.0625,0.0,0.0,0.875,0,0,0,0,1,negative,0.9375,434.0
36,New White Stuff Store To Open in Truro with Exclusive Weekend Discounts and Exciting In-Store Events,https://cornishstuff.com/2024/08/19/new-white-stuff-store-opens-in-truro-with-exclusive-weekend-discounts-and-exciting-in-store-events/,2024-08-19 07:00:00+00:00,Cornish Stuff,White Stuff Limited,negative,0.0,0.0,0.0,0.0,0.3125,0,0,0,0,1,negative,0.3125,676.5
37,White Stuff strikes Derbion deal,https://www.insidermedia.com/news/midlands/white-stuff-strikes-derbion-deal,2024-05-13 07:00:00+00:00,Insider Media,White Stuff Limited,positive,0.0,0.0,0.058823529411764705,0.0,0.5,0,0,0,0,1,positive,0.5588235294117647,578.5
38,White Stuff owners consider sale following takeover approach,https://www.retail-week.com/fashion/white-stuff-owners-consider-sale-following-takeover-approach/7045603.article,2024-02-15 08:00:00+00:00,Retail Week,White Stuff Limited,negative,0.0,0.0,0.11764705882352941,0.0,0.5625,0,0,1,0,1,negative,0.6801470588235294,527.5
39,White Stuff’s winning ways,https://www.drapersonline.com/insight/the-good-stuff,2024-02-17 08:00:00+00:00,Drapers,White Stuff Limited,negative,0.0,0.0,0.0,0.0,0.3125,0,0,0,0,1,negative,0.3125,676.5
40,What are these mysterious blobs washing up on Canadian beaches?,https://www.stuff.co.nz/world-news/350452570/what-are-these-mysterious-blobs-washing-canadian-beaches,2024-10-15 07:00:00+00:00,Stuff,,negative,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,negative,0.0,883.5
41,White Stuff explores sale amid takeover approach,https://www.drapersonline.com/news/white-stuff-explores-sale-amid-takeover-approach,2024-02-15 08:00:00+00:00,Drapers,White Stuff Limited,negative,0.0,0.0,0.058823529411764705,0.0,0.375,0,0,0,0,1,negative,0.4338235294117647,620.0
42,White Stuff opens Liverpool One flagship,https://www.drapersonline.com/news/white-stuff-opens-liverpool-one-flagship,2024-03-04 08:00:00+00:00,Drapers,White Stuff Limited,negative,0.0,0.0,0.0,0.0,0.5,0,0,0,0,1,negative,0.5,599.0
43,7 great buys from White Stuff's new homeware range,https://www.housebeautiful.com/uk/lifestyle/shopping/g38213656/white-stuff-homeware/,2021-11-13 08:00:00+00:00,House Beautiful,White Stuff Limited,negative,0.058823529411764705,0.0,0.0,0.0,0.25,0,0,0,0,1,negative,0.3088235294117647,681.5
44,White Stuff back in the black,https://www.drapersonline.com/news/white-stuff-back-in-the-black,2022-10-26 07:00:00+00:00,Drapers,White Stuff Limited,negative,0.0,0.0,0.35294117647058826,0.0,1.5,0,0,1,0,1,negative,1.8529411764705883,239.0
45,Fashion firm The White Stuff is cashing in,https://www.thisismoney.co.uk/money/markets/article-12708127/Fashion-firm-White-Stuff-cashing-in.html,2023-11-04 07:00:00+00:00,This is Money,White Stuff Limited,negative,0.058823529411764705,0.0625,0.23529411764705882,0.0,0.6875,0,0,1,0,1,negative,1.0441176470588236,404.5
46,White Stuff revenue jumps,https://www.drapersonline.com/news/white-stuff-revenue-jumps,2023-11-04 07:00:00+00:00,Drapers,White Stuff Limited,negative,0.0,0.0,0.058823529411764705,0.0,0.5625,0,0,0,0,1,negative,0.6213235294117647,546.5
47,White Stuff signs for Derbion,https://news.completelyretail.co.uk/white-stuff-signs-for-derbion/,2024-05-10 07:00:00+00:00,Completely Retail News,White Stuff Limited,negative,0.0,0.0,0.058823529411764705,0.0,0.75,0,0,0,0,1,negative,0.8088235294117647,481.0
48,Having the right stuff in retail can still mean opening high street stores,https://www.thetimes.com/article/having-the-right-stuff-in-retail-can-still-mean-opening-high-street-stores-bvdshqw9j,2023-11-03 07:00:00+00:00,The Times,White Stuff Limited,negative,0.0,0.0,0.058823529411764705,0.0,0.1875,0,0,0,0,1,negative,0.24632352941176472,698.5
49,"White Stuff has ‘quietly’ rebranded, says CEO",https://www.drapersonline.com/news/white-stuffs-quiet-new-rebrand,2021-09-13 07:00:00+00:00,Drapers,White Stuff Limited,negative,0.058823529411764705,0.0,0.058823529411764705,0.0,1.0,0,0,0,0,1,negative,1.1176470588235294,382.0
50,More shops planned for lifestyle clothing retailer White Stuff,https://www.thetimes.com/article/more-shops-planned-for-lifestyle-clothing-retailer-white-stuff-wkvc7wg6g,2023-11-04 07:00:00+00:00,The Times,White Stuff Limited,negative,0.058823529411764705,0.0,0.058823529411764705,0.0,0.5625,0,0,0,0,1,negative,0.6801470588235294,527.5
51,White Stuff swings to the black after 'quietly rebranding' business,https://www.retail-week.com/fashion/white-stuff-swings-to-the-black-after-quietly-rebranding-business/7042612.article,2022-10-27 07:00:00+00:00,Retail Week,White Stuff Limited,negative,0.0,0.0,0.29411764705882354,0.0,1.125,0,0,1,0,1,negative,1.4191176470588236,315.5
52,Chris Wood leads All Whites to biggest win in 20 years over Vanuatu,https://www.stuff.co.nz/sport/360482689/all-whites-secure-biggest-win-two-decades-world-cup-qualifier-against-vanuatu,2024-11-15 08:00:00+00:00,Stuff,,negative,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,negative,0.0,883.5
53,White Stuff opens at Ashford’s McArthur Glen Outlet,https://news.completelyretail.co.uk/white-stuff-opens-at-ashfords-mcarthur-glen-outlet/,2024-04-12 07:00:00+00:00,Completely Retail News,White Stuff Limited,negative,0.0,0.0,0.0,0.0,0.375,0,0,0,0,1,negative,0.375,645.5
54,White Stuff to open flagship store in Liverpool ONE,https://www.a1retailmagazine.com/latest-news/white-stuff-to-open-flagship-store/,2024-01-24 08:00:00+00:00,A1 Retail Magazine,White Stuff Limited,negative,0.0,0.0,0.0,0.0,0.875,0,0,0,0,1,negative,0.875,449.0
55,White Stuff to open Liverpool flagship,https://www.drapersonline.com/news/white-stuff-to-open-liverpool-flagship,2024-01-24 08:00:00+00:00,Drapers,White Stuff Limited,negative,0.0,0.0,0.0,0.0,0.1875,0,0,0,0,1,negative,0.1875,712.5
56,Leading landscape designer bucked the sexist stereotype,https://www.stuff.co.nz/home-property/360475544/leading-landscape-designer-bucked-sexist-stereotype,2024-11-23 08:00:00+00:00,Stuff,,negative,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,negative,0.0,883.5
57,At work and home with White Stuff’s merchandising maestro,https://www.drapersonline.com/people/my-fashion-life/at-work-and-home-with-white-stuffs-merchandising-maestro,2019-06-21 07:00:00+00:00,Drapers,White Stuff Limited,negative,0.058823529411764705,0.0,0.0,0.0,0.8125,0,0,0,0,1,negative,0.8713235294117647,454.5
58,Snowman spotted on Vegas Strip as city sees rare white stuff,https://www.detroitnews.com/story/news/nation/2019/02/21/vegas-gets-first-measurable-snow-since-record-keeping-began/39090941/,2019-02-21 08:00:00+00:00,Detroit News,White Stuff Limited,positive,0.0,0.3125,0.11764705882352941,0.21428571428571427,0.0,0,1,1,1,0,positive,0.6444327731092437,541.0
59,"Interview: ‘I’m not scared of the retail bloodbath,’ says White Stuff boss Jo Jenkins",https://www.thetimes.com/article/interview-im-not-scared-of-the-retail-bloodbath-says-white-stuff-boss-jo-jenkins-nq7p5t3wq,2019-11-10 08:00:00+00:00,The Times,White Stuff Limited,negative,0.0,0.0625,0.0,0.0,0.1875,0,0,0,0,1,negative,0.25,695.5
60,First look: White Stuff opens new Glasgow store,https://www.drapersonline.com/news/first-look-white-stuff-opens-new-glasgow-store,2023-05-11 07:00:00+00:00,Drapers,White Stuff Limited,negative,0.0,0.0,0.0,0.0,0.375,0,0,0,0,1,negative,0.375,645.5
61,Jo Jenkins,https://www.drapersonline.com/people/power100-2023/jo-jenkins-2,2023-12-06 08:00:00+00:00,Drapers,White Stuff Limited,negative,0.0,0.1875,0.0,0.0,0.5625,0,1,0,0,1,negative,0.75,503.0
62,Hobbs and Whistles owner swoops for prominent fashion and lifestyle retailer,https://www.insidermedia.com/news/national/hobbs-and-whistles-owner-swoops-for-prominent-fashion-and-lifestyle-retailer,2024-10-25 07:00:00+00:00,Insider Media,White Stuff Limited,negative,0.0,0.0,0.058823529411764705,0.07142857142857142,1.0,0,0,0,0,1,negative,1.1302521008403361,377.0
63,"White Stuff: latest news, analysis and trading updates",https://www.retail-week.com/companies/white-stuff,2015-11-05 07:18:42+00:00,Retail Week,White Stuff Limited,negative,0.0,0.0,0.0,0.0,0.125,0,0,0,0,1,negative,0.125,734.5
64,Exclusive: White Stuff makes 400 redundancies,https://www.drapersonline.com/news/exclusive-white-stuff-axes-400-roles,2020-07-16 07:00:00+00:00,Drapers,White Stuff Limited,positive,0.0,0.0,0.35294117647058826,0.0,0.5,0,0,1,0,1,positive,0.8529411764705883,465.5
65,Jo Jenkins,https://www.drapersonline.com/people/power100-2022/jo-jenkins,2022-11-30 08:00:00+00:00,Drapers,White Stuff Limited,negative,0.0,0.0,0.11764705882352941,0.0,0.6875,0,0,1,0,1,negative,0.8051470588235294,483.0
66,New details revealed after young mother killed in boating incident,https://www.stuff.co.nz/nz-news/350262054/new-details-revealed-after-young-mother-killed-boating-incident,2024-04-30 07:00:00+00:00,Stuff,,negative,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,negative,0.0,883.5
67,First look: White Stuff’s new Edinburgh home,https://www.drapersonline.com/news/first-look-white-stuffs-new-edinburgh-home,2023-07-07 07:00:00+00:00,Drapers,White Stuff Limited,negative,0.0,0.0,0.058823529411764705,0.0,0.25,0,0,0,0,1,negative,0.3088235294117647,681.5
68,Coronavirus: White Stuff to cut jobs,https://www.drapersonline.com/news/coronavirus-white-stuff-to-cut-jobs,2020-05-07 07:00:00+00:00,Drapers,White Stuff Limited,negative,0.0,0.0,0.0,0.0,0.375,0,0,0,0,1,negative,0.375,645.5
69,"Our love affair with crisp, white walls",https://www.stuff.co.nz/home-property/350177734/white-paint-through-decades-remember-half-tea-one-we-love-now,2024-02-21 08:00:00+00:00,Stuff,,negative,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,negative,0.0,883.5
70,Misery in the vines: a tale of ‘exploitation’ in the kiwifruit industry,https://www.stuff.co.nz/nz-news/350293195/misery-vines-tale-exploitation,2024-06-01 07:00:00+00:00,Stuff,,negative,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,negative,0.0,883.5
71,Clothing brand White Stuff opening store in Liverpool ONE,https://www.liverpoolecho.co.uk/whats-on/shopping/clothing-brand-white-stuff-opening-28455723,2024-01-16 08:00:00+00:00,Liverpool Echo,White Stuff Limited,negative,0.0,0.0,0.0,0.0,0.6875,0,0,0,0,1,negative,0.6875,523.5
72,White Stuff reviews store portfolio,https://www.drapersonline.com/news/white-stuff-reviews-store-portfolio,2021-01-20 08:00:00+00:00,Drapers,White Stuff Limited,positive,0.0,0.0,0.11764705882352941,0.0,0.0625,0,0,1,0,0,negative,0.1801470588235294,722.0
73,Exclusive: White Stuff to cut store staff roles,https://www.drapersonline.com/news/white-stuff-to-cut-store-staff-roles,2019-07-23 07:00:00+00:00,Drapers,White Stuff Limited,negative,0.0,0.0,0.17647058823529413,0.0,0.625,0,0,1,0,1,negative,0.8014705882352942,487.0
74,The right stuff to drive White Stuff forwards,https://www.telegraph.co.uk/finance/newsbysector/retailandconsumer/11964585/The-right-stuff-to-drive-White-Stuff-forwards.html,2015-11-01 07:00:00+00:00,The Telegraph,White Stuff Limited,negative,0.058823529411764705,0.0,0.058823529411764705,0.0,0.875,0,0,0,0,1,negative,0.9926470588235294,420.0
75,White Stuff profits are down but online and wholesale soar,https://www.retail-week.com/fashion/white-stuff-profits-are-down-but-online-and-wholesale-soar/7009509.article,2016-07-21 07:00:00+00:00,Retail Week,White Stuff Limited,negative,0.0,0.0,0.17647058823529413,0.07142857142857142,0.8125,0,0,1,0,1,negative,1.0603991596638656,396.0
76,Exclusive: Gareth Jones joins White Stuff,https://www.drapersonline.com/news/exclusive-gareth-jones-joins-white-stuff,2020-07-23 07:00:00+00:00,Drapers,White Stuff Limited,negative,0.0,0.0,0.0,0.0,0.3125,0,0,0,0,1,negative,0.3125,676.5
77,Jo Jenkins’ modern makeover of White Stuff,https://www.drapersonline.com/people/the-drapers-interview/the-great-white-stuff-hope,2020-11-06 08:00:00+00:00,Drapers,White Stuff Limited,positive,0.0,0.0,0.0,0.0,0.125,0,0,0,0,1,positive,0.125,734.5
78,In pictures: White Stuff opens retro flagship in Bluewater,https://www.retail-week.com/fashion/in-pictures-white-stuff-opens-retro-flagship-in-bluewater/5066558.article,2014-11-24 08:00:00+00:00,Retail Week,White Stuff Limited,negative,0.058823529411764705,0.3125,0.0,0.0,0.5,0,1,0,0,1,negative,0.8713235294117647,454.5
79,White Stuff CEO Jeremy Seigal to exit,https://www.drapersonline.com/news/white-stuff-ceo-jeremy-seigal-to-exit,2017-07-18 07:00:00+00:00,Drapers,White Stuff Limited,negative,0.0,0.0,0.058823529411764705,0.0,0.25,0,0,0,0,1,negative,0.3088235294117647,681.5
80,White Stuff profits halve as 'test and learn' misfires,https://www.retail-week.com/finance/white-stuff-profits-halve-as-test-and-learn-misfires/7029680.article,2018-08-08 07:00:00+00:00,Retail Week,White Stuff Limited,negative,0.0,0.0,0.17647058823529413,0.0,0.5625,0,0,1,0,1,negative,0.7389705882352942,510.5
81,Lucy Lawless reignites feud with Kevin Sorbo over Kamala Harris comment,https://www.stuff.co.nz/culture/350374785/lucy-lawless-reignites-feud-kevin-sorbo-over-kamala-harris-comment,2024-08-10 07:00:00+00:00,Stuff,,negative,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,negative,0.0,883.5
82,"Drapers Top 100 2017 – 80. Jo Jenkins, chief executive, White Stuff",https://www.drapersonline.com/people/drapers-top-100-2017-80-jo-jenkins-chief-executive-white-stuff,2017-12-15 08:00:00+00:00,Drapers,White Stuff Limited,negative,0.0,0.0,0.058823529411764705,0.0,0.125,0,0,0,0,1,negative,0.18382352941176472,716.5
83,An insider’s view of what went wrong for Fletcher,https://www.stuff.co.nz/business/350181308/insiders-view-what-went-wrong-fletcher,2024-02-16 08:00:00+00:00,Stuff,,negative,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,negative,0.0,883.5
84,"Drapers Top 100 2016 – 81. Jeremy Seigal, chief executive, White Stuff",https://www.drapersonline.com/people/drapers-top-100-2016-81-jeremy-seigal-chief-executive-white-stuff,2016-12-15 08:00:00+00:00,Drapers,White Stuff Limited,negative,0.0,0.0,0.0,0.0,0.375,0,0,0,0,1,negative,0.375,645.5
85,The Drapers Interview: White Stuff’s Jeremy Seigal on sociable retailing,https://www.drapersonline.com/people/the-drapers-interview/the-drapers-interview-white-stuffs-jeremy-seigal-on-sociable-retailing,2015-11-19 08:00:00+00:00,Drapers,White Stuff Limited,positive,0.0,0.0,0.0,0.0,0.3125,0,0,0,0,1,positive,0.3125,676.5
86,In Focus: Fat Face and White Stuff,https://www.retail-week.com/in-focus-fat-face-and-white-stuff/5020558.article,2010-12-16 08:00:00+00:00,Retail Week,White Stuff Limited,negative,0.0,0.0,0.11764705882352941,0.0,0.625,0,0,1,0,1,negative,0.7426470588235294,508.0
87,Jo Jenkins,https://www.drapersonline.com/people/jo-jenkins,2019-12-12 23:16:06+00:00,Drapers,White Stuff Limited,negative,0.0,0.0,0.058823529411764705,0.0,0.3125,0,0,0,0,1,negative,0.3713235294117647,653.0
88,White Stuff set for £150m sale or flotation,https://www.drapersonline.com/companies/white-stuff-set-for-150m-sale-or-flotation,2011-04-04 07:00:00+00:00,Drapers,White Stuff Limited,negative,0.0,0.0,0.0,0.0,0.25,0,0,0,0,1,negative,0.25,695.5
89,Our Volvo takes on the white stuff and wins,https://www.shropshirestar.com/news/motors/reviews/2018/01/30/our-volvo-takes-on-the-white-stuff-and-wins/,2018-01-30 08:00:00+00:00,Shropshire Star,White Stuff Limited,negative,0.0,0.0625,0.0,0.0,0.0625,0,0,0,0,0,negative,0.125,734.5
